Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Corrib View,http://www.corribviewfarm.com,+353(0)91791114,-9.05873,53.368517,Galway,Annaghdown,Republic of Ireland,"B&B,Covid Safety Charter"
Castle Ivy Lodge,http://www.myinfo.ie/Cashel-Ivy-Lodge-Self-Catering/,+353(0)6252500,-7.8884098,52.5197642,Tipperary,Cashel,Ireland,"Self Catering Accommodation,Covid Safety Charter"
Airport Manor B&B,http://airportmanorbandb.com,+353(0)868800578,-8.867313936,52.71325362,Clare,Shannon Town,Republic of Ireland,"B&B,B&B Ireland,Covid Safety Charter"
Gort na gCapall Cottage,http://www.gortnagcapall.ie,+353(0)6724549,-8.256160154,52.91160298,Tipperary,Dromineer,Republic of Ireland,Self Catering Accommodation
Dunboyne Castle Hotel and Spa,http://www.dunboynecastlehotel.com,+353(0)18013500,-6.477468,53.417146,Meath,Dunboyne,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Dromhall Hotel,http://www.dromhall.com,+353(0)646639300,-9.5064639,52.0533222,Kerry,Killarney,Ireland,"Hotel,Covid Safety Charter"
Downhill Inn Hotel,http://www.downhillinn.ie,+353(0)9673444,-9.135038,54.119429,Mayo,Ballina,Republic of Ireland,"Hotel,Stay and Spend"
Evergreen,http://www.stayatevergreen.com,+353(0)18403886,-6.245775,53.48457,Dublin,Swords,Republic of Ireland,"B&B,Covid Safety Charter"
The Ring Farmhouse,http://www.irishfarmhouseholiday.com,+353(0)579120976,-7.882425,53.078748,Offaly,Birr,Republic of Ireland,"B&B,Covid Safety Charter"
The Huntsman Inn,http://www.huntsmaninn.com,+353(0)91562849,-9.033889,53.281333,Galway,Galway City,Republic of Ireland,Hotel
Imperial Hotel with Escape Salon and Spa,https://www.imperialhotelcork.com/,+353(0)214274040,-8.470057936,51.89712393,Cork,Cork City,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Ballinacurra House,http://www.ballinacurra.com,+353(0)214779040,-8.556499,51.712163,Cork,Ballinacurra,Republic of Ireland,"Self Catering Accommodation,Covid Safety Charter,Stay and Spend"
Forster Court Hotel,http://theforstercourt.ie,+353(0)91564111,-9.04621877,53.27504935,Galway,Galway City,Ireland,"Hotel,Stay and Spend"
The Address Citywest,https://www.theaddresscitywest.com/,+353(0)14619900,-6.419546,53.301283,Dublin,Clondalkin,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Doherty Farm Holiday Homes,http://www.dohertyholidayhomes.com,+353(0)749155535,-7.794423323,55.18777975,Donegal,Downings,Republic of Ireland,Self Catering Accommodation
Roundwood Caravan and Camping Park,http://www.dublinwicklowcamping.com,+353(0)12818163,-6.222318767,53.06909915,Wicklow,Roundwood,Republic of Ireland,"Camping,Covid Safety Charter"
Dillons Cottage,http://www.dillonscottage.com,+353(0)861690154,-7.003174,54.125124,Monaghan,Rockcorry,Republic of Ireland,"Self Catering Accommodation,Covid Safety Charter"
Currane Lodge,http://www.curranelodge.ie,+353(0)669474073,-10.142181,51.843299,Kerry,Waterville,Republic of Ireland,"B&B,Covid Safety Charter"
Knockranny House Hotel & Spa,http://www.knockrannyhousehotel.ie,+353(0)9828600,-9.507916,53.802153,Mayo,Westport,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Bishopstown House,https://www.bishopstownhouse.ie,353906000000,-7.6112847,53.4574076,Westmeath,,Ireland,"Self Catering Accommodation,Welcome Standard"
Slane Farm Hostel,https://www.facebook.com/slanefarm/,+353(0)419884985,-6.572722,53.715808,Meath,Slane,Republic of Ireland,"Hostel,Covid Safety Charter"
Quinlan & Cooke Boutique Townhouse,https://www.facebook.com/QCsTownhouse/,+353(0)669472244,-10.22702605,51.94587038,Kerry,Cahersiveen,Ireland,"B&B,Covid Safety Charter,Welcome Standard,Stay and Spend"
Ardmore Country House Hotel,http://www.ardmorecountryhouse.com,+353(0)9825994,-9.552036,53.79608,Mayo,Westport,Republic of Ireland,Hotel
Tulfarris Hotel and Golf Resort,http://www.facebook.com/tulfarris,+353(0)45867600,-6.559152545,53.12433049,Wicklow,Blessington Lakes,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
"Hotel Westport, Leisure Spa and Conference",https://www.facebook.com/HotelWestport,+353(0)9825122,-9.528141951,53.80104252,Mayo,Westport,Republic of Ireland,"Hotel,Stay and Spend"
The Willows,https://www.thewillowsbnb.com,+353(0)667123779,-9.69809279,52.26602405,Kerry,Tralee,Republic of Ireland,"B&B,B&B Ireland"
Nire Valley Eco Camp,https://nirevalleyecocamp.com/,353871000000,-7.698946,52.2762003,Waterford,,Ireland,"Camping,Welcome Standard,Stay and Spend,Activity Holiday Accommodation,Glamping"
Brookman Town Homes – Donnybrook Manor,http://www.brookman.ie,+353(0)12839088,-6.238231,53.320919,Dublin,Ballsbridge,Republic of Ireland,"Self Catering Accommodation,Covid Safety Charter,Stay and Spend"
Aghadoe House,http://www.aghadoehouse.com,+353(0)872851216,-6.26962,53.368446,Dublin,Glasnevin,Republic of Ireland,"B&B,Covid Safety Charter"
Foleys Guesthouse,http://www.foleyskenmare.com,+353(0)646642162,-9.583387,51.879391,Kerry,Kenmare,Republic of Ireland,"Guesthouse,Covid Safety Charter,Stay and Spend"
The Woodford Dolmen Hotel,http://www.woodforddolmenhotel.ie,+353(0)599142002,-6.951564161,52.81395454,Carlow,,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Mulgrave Lodge,http://www.mulgravelodge.com,+353(0)12801664,-6.136987,53.290174,Dublin,,Republic of Ireland,Hostel
Ferrybank Caravan Park,http://www.wexfordswimmingpool.ie,+353(0)539185256,-6.453062,52.344983,Wexford,Ferrybank,Republic of Ireland,"Camping,Covid Safety Charter,Stay and Spend"
Ethan House B&B,http://www.booking.com/hotel/ie/ethan-house-b-amp-b.html,+353(0)238848795,-9.034592,51.576062,Cork,Rosscarbery,Republic of Ireland,B&B
Willowbed House,,+353(0)863451711,-8.57415919,53.67902177,Galway,Williamstown,Ireland,Self Catering Accommodation
Lake Avenue House,http://www.lakeavenuehouse.com,+353(0)879670353,-7.668793,54.099157,Cavan,Port,Republic of Ireland,"B&B,Covid Safety Charter"
Achill Cottages,https://www.facebook.com/achillcottages,+353(0)9845200,-9.945846678,53.93164916,Mayo,,Republic of Ireland,"Self Catering Accommodation,Covid Safety Charter"
The Local Lodge,https://www.facebook.com/thelocalcashel/,353863000000,-7.9378241,53.5893128,Longford,,Ireland,Self Catering Accommodation
Nore Valley Park,http://www.facebook.com/norevalleypark,+353(0)567727229,-7.195212,52.563372,Kilkenny,Bennettsbridge,Republic of Ireland,Camping
Conyngham Arms Hotel,http://www.conynghamarms.ie,+353(0)419884444,-6.544717638,53.70858849,Meath,Slane,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Emy Lake House,http://www.emylakehouse.com,+353(0)4787266,-6.9675908,54.3405419,Monaghan,Emyvale,Ireland,"Self Catering Accommodation,Covid Safety Charter"
Portbeg Holiday Homes at Donegal Bay,http://www.portbegholidayhomes.com,+353(0)719829952,-8.302093,54.477521,Donegal,Bundoran,Republic of Ireland,"Self Catering Accommodation,Covid Safety Charter"
O'Briens Cashel Lodge,http://www.cashel-lodge.com,+353(0)6261003,-7.895595,52.520046,Tipperary,Cashel,Republic of Ireland,Camping
Fairgreen Holiday Cottages,http://www.fairgreencottages.com,+353(0)749521247,-8.365927,54.953188,Donegal,Dungloe,Republic of Ireland,"Self Catering Accommodation,Covid Safety Charter"
West Coast House,http://www.achillwestcoasthousebandb.com/,+353(0)9843317,-10.112938,53.976274,Mayo,,Republic of Ireland,"B&B,Covid Safety Charter"
The Dormers,https://www.facebook.com/The-Dormers-BB-138876889629742/,+353(0)91585034,-9.066367,53.264792,Galway,Galway City,Republic of Ireland,B&B
Ballylickey House & Gardens,https://www.ballylickeyhouse.com,353873000000,-9.4369444,51.7235023,Cork,Bantry,Ireland,B&B
Blindgate House,http://www.blindgatehouse.com/,+353(0)214777858,-8.525616,51.703563,Cork,Kinsale,Republic of Ireland,Guesthouse
King Sitric Guesthouse,http://www.facebook.com/kingsitricrestaurant&accommodation,+353(0)18325235,-6.063433353,53.38828818,Dublin,Howth,Republic of Ireland,"Guesthouse,Covid Safety Charter,Stay and Spend"
Menlo Park Hotel,http://www.menloparkhotel.com,+353(0)91761122,-9.046855,53.287896,Galway,Headford Road,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Clanard Court Hotel,http://www.clanardcourt.ie,+353(0)598640666,-6.959851,52.998744,Kildare,Athy,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Glenside Hotel,http://www.glensidehotel.ie,+353(0)419829999,-6.300236,53.688201,Meath,Drogheda,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Ashfield B&B,http://www.ashfieldkenmare.com,+353(0)646642234,-9.569807,51.882638,Kerry,Kenmare,Republic of Ireland,"B&B,Covid Safety Charter"
Caroleville,http://www.caroleville.com,+353(0)214294321,-8.430133,51.893781,Cork,Cork City,Republic of Ireland,B&B
The Grove Lodge Riverside Holiday Homes,http://www.tridentholidayhomes.ie/rentals/rentals-killorglin-d380553/,+353(0)12018479,-9.775843,52.102755,Kerry,Killorglin,Republic of Ireland,Self Catering Accommodation
Rowan Tree,https://www.facebook.com/RowanTreeHostel?fref=ts,+353(0)656868687,-8.982579991,52.84612388,Clare,Ennis,Republic of Ireland,"Hostel,Covid Safety Charter,Welcome Standard,Stay and Spend"
Kylemore Pass Hotel,https://twitter.com/KylemoreHotel,+353(0)9541141,-9.834263906,53.56437973,Galway,Kylemore,Republic of Ireland,Hotel
The Ferris Wheel,http://m.facebook.com/Ferris-Wheel-Bed-Breakfast-Gap-of-Dunloe-Killarney-CoKerry-Ireland-1446096425633555/,+353(0)646644609,-9.631776,52.046012,Kerry,Beaufort,Republic of Ireland,"B&B,Covid Safety Charter"
Canbe - Pearse Street,http://canbe.ie/pearse-street-suites-dublin-2,+353(0)12196539,-6.243786053,53.34289432,Dublin,Dublin,Ireland,"Self Catering Accommodation,Covid Safety Charter,Stay and Spend"
Kinlay Hostel,http://www.kinlaygalway.ie,+353(0)91565244,-9.048882,53.273232,Galway,Eyre Square,Republic of Ireland,Hostel
West Cork Hotel,https://www.facebook.com/WestCorkHotel,+353(0)2821277,-9.270709933,51.55082936,Cork,Skibbereen,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Castle Farm,http://www.castlefarmbb.com,+353(0)2498165,-7.967179,51.872488,Cork,Ballymacoda,Republic of Ireland,"B&B,Covid Safety Charter"
Weir Haven,https://www.bandbireland.com/accommodation/28199/weir-haven,35391796637,-8.883087,53.207152,Galway,Kilcolgan,Ireland,"B&B,B&B Ireland"
Central Hotel,http://www.centralhoteldublin.com/,+353(0)16797302,-6.263976055,53.34311542,Dublin,Dublin City,Republic of Ireland,Hotel
Coolbawn Lodge Farmhouse,http://www.coolbawnlodge.com,+353(0)2838166,-9.332826,51.589705,Cork,Drimoleague,Republic of Ireland,B&B
Glen Hill,http://www.glenhillbandb.com,+353(0)539120015,-6.530966,52.339869,Wexford,Barntown,Republic of Ireland,"B&B,Covid Safety Charter"
Hazel Grove,http://www.hazelgrove.net,+353(0)949546060,-9.292407,53.556758,Mayo,Cong,Republic of Ireland,"B&B,Covid Safety Charter"
Gleann Dearg,http://www.rent.ie/holiday-homes/Gleann-Dearg-Anascaul-Co-Kerry/23121/,353667000000,-9.985232,52.144275,Kerry,Inch,Republic of Ireland,Self Catering Accommodation
Killeen House Hotel,http://www.killeenhousehotel.com,+353(0)646631711,-9.571235528,52.07554942,Kerry,Aghadoe,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Longcourt House Hotel,http://longcourthousehotel.ie,+353(0)6925300,-9.051032067,52.44888477,Limerick,Newcastle West,Ireland,Hotel
Bush Hotel,http://www.bushhotel.com,+353(0)719671000,-8.093960883,53.94616725,Leitrim,Carrick On Shannon,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
The Western Hotel,http://www.westernhotelgalway.ie,+353(0)91562834,-9.047878,53.276408,Galway,Eyre Square,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Kelly's Hotel,http://www.kellysdublin.com,+353(0)16480010,-6.264670713,53.3419899,Dublin,Dublin,Republic of Ireland,Hotel
Stone Lodge Bed and Breakfast,http://www.stonelodgebandb.com/,+353(0)539425765,-6.232746,52.636211,Wexford,Courtown,Republic of Ireland,"B&B,Covid Safety Charter"
Heritage,http://www.heritagebandb.ie,+353(0)429335850,-6.41418,53.97029601,Louth,Dundalk,Republic of Ireland,"B&B,B&B Ireland"
Castle Grove Country House,https://www.facebook.com/pages/Castle-Grove-Country-House-Hotel/323403397322?ref=hl,+353(0)749151118,-7.648227,54.986987,Donegal,Letterkenny,Republic of Ireland,Hotel
Top of the Rock Pod Páirc and Walking Centre,https://twitter.com/podpairc,+353(0)2831547,-9.2608,51.6683,Cork,Drimoleague,Ireland,"Camping,Covid Safety Charter,Welcome Standard,Stay and Spend,Glamping"
Waterside House,https://www.facebook.com/Waterside-Guesthouse-234902169897464/,+353(0)599724246,-6.953757,52.540384,Kilkenny,Graiguenamanagh,Republic of Ireland,Guesthouse
Burren Yoga Retreat,https://www.burrenyoga.com/,35391637680,-8.9532476,53.0872872,Galway,,Ireland,"B&B,Welcome Standard"
Rochestown Lodge Hotel and Leisure Club,http://www.rochestownlodge.com/,+353(0)12853555,-6.141672548,53.26956797,Dublin,,Republic of Ireland,"Hotel,Stay and Spend"
Carraig View,http://www.carraigview.com/,+353(0)539421323,-6.291385,52.646035,Wexford,Gorey,Republic of Ireland,B&B
Blackstairs Ecotrails,http://twitter.com/whiteecotrails,+353(0)599773184,-6.8551058,52.61328364,Carlow,Borris,Ireland,"Self Catering Accommodation,Welcome Standard"
Ard na Carraige,http://www.dingle-region.com/carraige.htm,+353(0)669155295,-10.35810641,52.19147271,Kerry,Ballydavid,Republic of Ireland,B&B
Talbot Hotel,http://www.thetalbothotel.ie,+353(0)9720484,-9.985371202,54.22333509,Mayo,Belmullet,Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Jurys Inn Christchurch,http://www.jurysinns.com,+353(0)14540000,-6.270521251,53.34283144,Dublin,Dublin,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Loop Head Lightkeeper's Cottage,http://www.irishlandmark.com,+353(0)16704733,-9.932304847,52.56078482,Clare,Loop Head,Republic of Ireland,"Self Catering Accommodation,Welcome Standard"
Rockville B&B,http://www.bedandbreakfastwexford.com,+353(0)539122147,-6.453322,52.326619,Wexford,Wexford Town,Republic of Ireland,B&B
Moycarn Lodge and Marina,https://www.facebook.com/pages/The-Moycarn-Lodge-Marina/579798615364879,+353(0)909645050,-8.197103,53.321448,Galway,Ballinasloe,Republic of Ireland,"Hotel,Covid Safety Charter"
Galway City Hostel,http://www.galwaycityhostel.com,+353(0)91535878,-9.047670189,53.27421649,Galway,Eyre Square,Ireland,"Hostel,Covid Safety Charter"
The Holiday Hotel,http://www.booking.com/hotel/ie/holiday.en-gb.html,+353(0)91522518,-9.075632,53.259955,Galway,Galway City,Republic of Ireland,"Hotel,Covid Safety Charter"
The Celtic B&B,https://www.facebook.com/TheCelticBedandBreakfast/,+353(0)61374899,-8.436283964,52.814904,Tipperary,Killaloe,Ireland,"B&B,Welcome Standard"
Binion Bay Caravan Park,http://www.caravanandcampingireland.ie/,+353(0)749376800,-7.425662222,55.27629181,Donegal,Clonmany,Ireland,"Camping,Welcome Standard"
Ard-Cill,http://www.bandbireland.com/accommodation/26876/ard-cill,+353(0)18405172,-6.29747,53.477716,Dublin,,Republic of Ireland,"B&B,Covid Safety Charter"
The Waters Edge,http://www.sligoholidayhomes.ie,+353(0)9649255,-8.756791,54.269674,Sligo,Templeboy,Republic of Ireland,Self Catering Accommodation
Grange Lodge,http://www.grangelodge.com,+353(0)719633350,-8.072162,53.823088,Roscommon,Grange,Ireland,"Self Catering Accommodation,Covid Safety Charter"
Racey Byrne's B&B,http://www.facebook.com/raceybyrnes/,+353(0)599131790,-6.92578722,52.83614658,Carlow,,Ireland,"B&B,Welcome Standard"
Clocan B&B,https://bandbireland.com/accommodation/26732/clocan-b-b,+353(0)949255066,-8.79535994,53.96713258,Mayo,Bellaghy,Republic of Ireland,"B&B,B&B Ireland"
Desmond House,http://www.desmondhousekinsale.com,+353(0)214773575,-8.524914009,51.70689208,Cork,Kinsale,Republic of Ireland,"B&B,Covid Safety Charter"
Beresford Hotel,http://www.beresfordhotelifsc.com,+353(0)18134700,-6.252694293,53.35009336,Dublin,Dublin,Republic of Ireland,Hotel
The Cottage,,+353(0)51565683,-6.750311775,52.31447953,Wexford,,Republic of Ireland,Self Catering Accommodation
Murphy's Hotel,http://www.murphyshotel.ie,+353(0)719185598,-8.731331,54.053297,Sligo,Tubbercurry,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Tinsley House,http://www.tinsleyhouse.com,+353(0)527441947,-7.923976,52.375332,Tipperary,Cahir,Republic of Ireland,B&B
Rafter's B&B,http://www.raftersbar.ie,+353(0)719166610,-8.624555805,54.22113443,Sligo,Beltra,Republic of Ireland,B&B
Dublin Central Inn,http://www.dublincityinn.com,+353(0)18749202,-6.25661,53.350235,Dublin,Dublin,Republic of Ireland,Guesthouse
Hotel Killarney,http://www.hotelkillarney.ie,+353(0)646626200,-9.48467659,52.06028515,Kerry,Killarney,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Emerville House,http://www.emervillehouse.com,+353(0)646633342,-9.50488,52.055488,Kerry,Killarney,Republic of Ireland,"B&B,Covid Safety Charter"
Greenhill,http://www.greenhillbandb.com,+353(0)9622767,-9.149975,54.112185,Mayo,Ballina,Republic of Ireland,B&B
Rocksberry B&B,http://www.mayo-accommodation.com,+353(0)949027254,-9.339865,53.835351,Mayo,Castlebar,Republic of Ireland,"B&B,Covid Safety Charter"
Marlinstown Court,http://www.marlinstowncourt.com,+353(0)449340053,-7.305911,53.522327,Westmeath,Mullingar,Republic of Ireland,"B&B,Covid Safety Charter"
Alderhaven Country Home,http://www.alderhaven.com,+353(0)646631982,-9.484176,52.057428,Kerry,Killarney,Republic of Ireland,"B&B,Covid Safety Charter"
Leitrim Quay,http://leitrimquay.com,353720000000,-8.0641499,53.9904704,Leitrim,Leitrim,Ireland,"Self Catering Accommodation,Welcome Standard,Stay and Spend,Activity Holiday Accommodation"
Ashville House,http://www.ashvillekillarney.com,+353(0)646636405,-9.512401927,52.06354748,Kerry,Killarney,Republic of Ireland,"B&B,Covid Safety Charter,Welcome Standard"
Realt na Mara,http://www.realtnamara.org,+353(0)2770101,-9.889116,51.652405,Cork,Castletownbere,Republic of Ireland,B&B
The Woodland Villas at Parknasilla Resort & Spa,https://www.parknasillaresort.com/en/self-catering-kerry/,+353(0)646641170,-9.874793,51.815668,Kerry,Sneem,Republic of Ireland,"Self Catering Accommodation,Covid Safety Charter"
Ashley Hotel,https://www.ashleyhotel.com,+353(0)214501518,-8.470816,51.901954,Cork,Cork City,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
2 Dromhall Heights,http://www.killarneydromhallheightsbedandbreakfast.com/page.php?page_id=89,+353(0)646632662,-9.501481819,52.05375481,Kerry,,Republic of Ireland,"Self Catering Accommodation,Covid Safety Charter"
San Augustine,http://www.sanaugustinebandb.com,+353(0)18408729,-6.225725,53.460712,Dublin,Swords,Republic of Ireland,"B&B,Covid Safety Charter"
Ardmor Country House,http://www.ardmorcountryhouse.com,+353(0)91553145,-9.320589,53.243639,Galway,Spiddal,Republic of Ireland,"B&B,Covid Safety Charter"
Roundstone House Hotel,https://www.facebook.com/roundstonehouse/,+353(0)9535864,-9.919040298,53.395151,Galway,Roundstone,Republic of Ireland,"Hotel,Covid Safety Charter"
Island View B&B,http://www.bandbireland.com/accommodation/28001/island-view-b-b,+353(0)749542031,-8.419867048,54.98159446,Donegal,Burtonport,Ireland,"B&B,B&B Ireland"
Clooneen House,http://www.clooneenhouse.com,+353(0)494334342,-7.52644,54.014862,Cavan,Killeshandra,Republic of Ireland,"B&B,Covid Safety Charter"
Laburnum Lodge,http://laburnum-lodge.com/index.html,+353(0)599149938,-6.75146886,52.79236495,Carlow,Tullow,Republic of Ireland,"B&B,B&B Ireland"
Old Essmore Cottage,http://www.oldessmorecottage.com,+44(0)2890203266,-6.24824108,54.07773707,Louth,Omeath,Ireland,"Self Catering Accommodation,Welcome Standard"
Arradale House,http://www.arradale.com,+353(0)429661941,-6.757847307,53.96532298,Monaghan,Carrickmacross,Republic of Ireland,B&B
An Towerin Tra,http://www.antowerintra.com,+353(0)669159820,-10.33766487,52.12634656,Kerry,Ventry,Republic of Ireland,"B&B,B&B Ireland"
Sullivan's Royal Hotel,https://www.facebook.com/SullivansHotelGort/,+353(0)91631401,-8.81951777,53.06743539,Galway,Gort,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Dillons Hotel,https://www.dillons-hotel.ie,+353(0)749122977,-7.736657,54.950707,Donegal,Letterkenny,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Woodview B&B,http://www.woodviewbedandbreakfastkilfinane.com/,+353(0)6391106,-8.46618,52.361021,Limerick,,Republic of Ireland,B&B
Inchiquin House,http://www.irishlandmark.com/property/inchiquin-house/,+353(0)16704733,-9.066254355,52.96046337,Clare,Corofin,Republic of Ireland,"Self Catering Accommodation,Welcome Standard"
Hillcrest Guesthouse,http://www.hillcrestguesthouse.ie,+353(0)526121798,-7.690805,52.356755,Tipperary,Clonmel,Republic of Ireland,"Guesthouse,Covid Safety Charter"
Maldron Hotel Portlaoise,https://www.maldronhotelportlaoise.com/,+353(0)578695900,-7.301374,53.014317,Laois,Portlaoise,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Gartan Outdoor Education and Training Centre,http://www.gartan.com,+353(0)749137032,-7.90792375,54.99416048,Donegal,Letterkenny,Republic of Ireland,"Hostel,Covid Safety Charter,Welcome Standard"
Rosegarland Estate,http://www.rosegarlandestate.ie,+353(0)872478317,-6.752322089,52.28212422,Wexford,,Ireland,"Self Catering Accommodation,Covid Safety Charter"
Newbury Hotel,http://www.thenewburyhotel.com,+353(0)449342888,-7.347025,53.524245,Westmeath,Mullingar,Republic of Ireland,"Hotel,Stay and Spend"
Sandrock Holiday Hostel,http://www.sandrockhostel.com,+353(0)863256323,-7.358433,55.361922,Donegal,Malin Head,Republic of Ireland,Hostel
Dawn B&B,http://www.dawnbandb.com,+353(0)51384465,-7.304632,52.233605,Waterford,Kilmeaden,Republic of Ireland,"B&B,Covid Safety Charter"
The Lord Bagenal Inn,http://www.lordbagenal.com,+353(0)599774000,-6.976749,52.736206,Carlow,Leighlinbridge,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Cashelnagor Railway Station & Waiting Room,http://www.dunsuan.ie,+353(0)867234449,-8.319239858,55.04379482,Donegal,Annagry,Republic of Ireland,"Self Catering Accommodation,Welcome Standard"
Tom and Eileens Farm,http://www.tomandeileens.com,+353(0)669767373,-9.706678629,52.18198731,Kerry,Castlemaine,Republic of Ireland,B&B
Danabel,http://www.danabel.com/,+353(0)214774087,-8.519868,51.707198,Cork,Kinsale,Republic of Ireland,"B&B,Covid Safety Charter"
Killarney House,http://www.killarneyhouse.com,+353(0)214270290,-8.492907426,51.89504544,Cork,Western Road,Republic of Ireland,Guesthouse
Wandesforde House,http://www.wandesfordehouse.com,+353(0)564442441,-7.157799,52.831549,Kilkenny,Castlecomer,Republic of Ireland,B&B
Hollymount House,http://www.dirl.com/tipperary/cahir/hollymount.htm,+353(0)527442888,-7.95354,52.381208,Tipperary,Cahir,Republic of Ireland,"B&B,Covid Safety Charter"
Kilkee Thalasso Centre,http://facebook.com/kilkeethalassotherapycentrekilkee,+353(0)659056742,-9.644872,52.680966,Clare,Kilkee,Republic of Ireland,Guesthouse
Fern Cottage,http://www.ferncottageDonegal.com,+353(0)749137222,-7.879876,54.972828,Donegal,Churchill,Republic of Ireland,Self Catering Accommodation
Carmels,http://www.bedandbreakfastireland.net/Wicklow_Carmel's.htm,+353(0)40445297,-6.262742,53.027904,Wicklow,Annamoe,Republic of Ireland,"B&B,Covid Safety Charter"
Castletown Roundhouse & Gatehouse,http://www.irishlandmark.com/view-properties/?prop1=1808&prop2=1300&searchText=Castletown%20Properties,+353(0)16704733,-6.537221315,53.34148865,Kildare,Celbridge,Ireland,"Self Catering Accommodation,Welcome Standard,Stay and Spend"
Cappa Veagh,http://www.cappaveagh.com,+353(0)91526518,-9.079945,53.26421,Galway,Salthill,Republic of Ireland,B&B
Tigh Chualain,http://www.tighchualain.com,+353(0)91553609,-9.352179,53.244719,Galway,,Republic of Ireland,Guesthouse
Fitzsimons Hotel,http://www.facebook.com/fitzsimonsbar,+353(0)16779315,-6.26514482,53.34554437,Dublin,Dublin,Republic of Ireland,Hotel
Temple House,https://www.templehouse.ie/,+353(0)879976045,-8.585282992,54.11373341,Sligo,Ballymote,Republic of Ireland,"B&B,Covid Safety Charter,Stay and Spend,B&Bs,Historic House"
Grand Canal Hotel,http://facebook.com/grandcanalhotel,+353(0)16461000,-6.237707,53.338026,Dublin,Dublin,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Lahinch Coast Hotel & Suites,https://www.lahinchcoasthotel.ie/,+353(0)657081100,-9.344837,52.931844,Clare,Lahinch,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Mount Royd Country Home,http://www.mountroyd.com,+353(0)749140163,-7.425044,54.950896,Donegal,Carrigans,Republic of Ireland,B&B
Cashel House Hotel,http://www.cashelhouse.ie,+353(0)9531001,-9.807922201,53.41964552,Galway,Cashel,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Glenview,http://www.glenview-house.com,+353(0)719644157,-7.797499,54.026891,Leitrim,Ballinamore,Republic of Ireland,"Guesthouse,Covid Safety Charter"
Rainbow Hostel,,+353(0)657074415,-9.370623,53.019764,Clare,Doolin,Republic of Ireland,"Hostel,Covid Safety Charter"
Kingdom View,http://www.kingdomview.com,+353(0)646644343,-9.739431484,52.04970232,Kerry,Beaufort,Republic of Ireland,"B&B,B&B Ireland"
Cuaneen House,http://www.cuaneenhouse.com,+353(0)9866460,-9.829117,53.768128,Mayo,Louisburgh,Republic of Ireland,B&B
Mulcahy's Hotel,http://www.mulcahys.ie,+353(0)526125054,-7.70171,52.353766,Tipperary,Clonmel,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Old Muckross Post Office,http://old-muckross-post-office.business.site/,+353(0)877685416,-9.488005966,52.02706328,Kerry,Muckross,Ireland,"Self Catering Accommodation,Covid Safety Charter,Welcome Standard"
The Blue Door,http://www.bluedoor.ie,+353(0)539121047,-6.464576,52.340911,Wexford,,Republic of Ireland,B&B
Castlemartyr Holiday Lodges & Mews,http://twitter.com/TridentHolidays,+353(0)12018479,-8.062864,51.911264,Cork,Castlemartyr,Republic of Ireland,Self Catering Accommodation
Sommerville,,+353(0)51383843,-7.005854,52.148031,Waterford,Dunmore East,Republic of Ireland,B&B
An Capall Dubh,http://ancapalldubh.com/bed-breakfast/,+353(0)669151105,-10.27119457,52.14107895,Kerry,Dingle,Republic of Ireland,"B&B,Covid Safety Charter,Stay and Spend"
Grand Central Hotel,http://www.grandcentralbundoran.com/,+353(0)719842722,-8.276529,54.47987,Donegal,Bundoran,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Beechgrove Farmhouse,http://www.beechgrove-farmhouse.com,+353(0)61368140,-8.904321354,52.74005214,Clare,,Republic of Ireland,B&B
